temperature,humidity,pressure,wind_speed,wind_direction,rain,cloudiness,description,condition_type,timestamp
25.18,89,1010,1.13,197,0.13,26,4,1,2024-10-27 23:09:08
29.79,67,1011,1.83,199,0.18,77,4,1,2024-10-28 01:09:08
24.07,94,1010,0.58,176,0.11,78,4,1,2024-10-28 15:09:08
23.68,96,1009,0.79,178,0.79,83,4,1,2024-10-28 16:09:08
23.61,98,1008,1.2,178,0.11,85,4,1,2024-10-28 17:09:08
23.49,99,1008,1.11,204,0.24,78,4,1,2024-10-28 20:09:08
23.11,99,1009,0.72,233,0.83,85,4,1,2024-10-28 21:09:08
23.11,99,1010,0.95,236,0.64,89,4,1,2024-10-28 22:09:08
33.33,52,1010,1.59,195,0.19,42,4,1,2024-10-29 03:09:08
33.91,52,1009,0.79,175,0.56,47,4,1,2024-10-29 04:09:09
33.11,55,1008,1.63,140,0.34,51,4,1,2024-10-29 05:09:09
30.54,66,1007,2.03,136,0.21,58,4,1,2024-10-29 06:09:08
28.84,73,1006,2.17,147,0.15,99,4,1,2024-10-29 07:09:08
29.65,68,1007,2.36,159,0.12,89,4,1,2024-10-29 08:09:09
23.98,96,1010,0.66,171,0.49,53,4,1,2024-10-29 15:09:09
23.5,98,1009,0.42,198,0.52,68,4,1,2024-10-29 17:09:08
23.43,99,1009,0.57,208,0.18,74,4,1,2024-10-29 18:09:08
23.35,99,1009,0.59,227,0.42,74,4,1,2024-10-29 19:09:09
23.29,99,1009,0.65,234,0.46,87,4,1,2024-10-29 20:09:09
23.2,99,1010,0.6,232,0.36,91,4,1,2024-10-29 21:09:09
23.17,99,1010,0.51,225,0.15,90,4,1,2024-10-29 22:09:08
24.54,96,1011,0.85,239,0.15,92,4,1,2024-10-29 23:09:09
29.13,75,1012,1.4,203,0.25,77,4,1,2024-10-30 01:09:09
32.32,59,1007,1.66,157,0.31,55,4,1,2024-10-30 06:09:09
30.03,71,1006,1.41,133,0.18,100,4,1,2024-10-30 07:09:09
28.16,83,1006,1.52,117,0.71,90,4,1,2024-10-30 08:09:09
27.34,88,1007,1.45,127,0.42,93,4,1,2024-10-30 09:09:09
24.44,96,1010,1.13,122,0.62,4,4,1,2024-10-30 13:09:09
24.22,97,1010,1.0,140,0.49,4,4,1,2024-10-30 14:09:09
24.07,97,1010,0.87,126,0.2,4,4,1,2024-10-30 15:09:09
23.54,97,1009,0.36,88,0.11,100,4,1,2024-10-30 21:09:09
23.47,98,1010,0.15,132,0.25,100,4,1,2024-10-30 22:09:09
24.37,96,1011,0.33,265,0.96,100,4,1,2024-10-30 23:09:09
25.96,91,1012,1.89,310,0.34,99,4,1,2024-10-31 00:09:09
28.12,79,1012,1.73,305,0.15,97,4,1,2024-10-31 01:09:10
31.07,63,1011,1.48,312,0.11,84,4,1,2024-10-31 02:09:09
32.78,55,1010,1.28,332,0.1,85,4,1,2024-10-31 03:09:09
30.47,74,1010,1.72,357,1.26,89,6,1,2024-10-31 04:09:09
30.33,72,1009,1.11,17,1.37,91,6,1,2024-10-31 05:09:10
30.85,70,1008,0.4,328,1.18,96,6,1,2024-10-31 06:09:09
30.22,76,1007,0.08,192,1.47,97,6,1,2024-10-31 07:09:09
29.49,81,1007,0.12,339,1.42,99,6,1,2024-10-31 08:09:09
27.52,88,1008,0.6,18,1.46,93,6,1,2024-10-31 09:09:09
25.37,92,1009,0.69,29,0.56,88,4,1,2024-10-31 10:09:09
24.69,95,1009,0.95,49,0.12,91,4,1,2024-10-31 11:09:09
24.27,96,1010,1.03,35,0.88,92,4,1,2024-10-31 12:09:09
24.14,96,1011,0.92,49,0.13,100,4,1,2024-10-31 14:09:09
24.13,96,1010,0.8,17,0.11,100,4,1,2024-10-31 15:09:09
23.79,98,1009,0.57,349,0.64,100,4,1,2024-10-31 17:09:09
23.67,98,1009,0.45,320,0.4,99,4,1,2024-10-31 18:09:09
23.3,98,1010,0.27,319,0.13,85,4,1,2024-10-31 21:09:09
23.25,98,1011,0.37,7,0.46,89,4,1,2024-10-31 22:09:09
27.46,82,1013,1.12,325,0.11,100,4,1,2024-11-01 01:09:09
32.01,58,1012,1.28,1,0.23,100,4,1,2024-11-01 03:09:09
31.61,63,1011,1.43,347,0.69,100,4,1,2024-11-01 04:09:09
32.05,62,1009,1.41,333,0.64,100,4,1,2024-11-01 05:09:09
31.58,59,1008,1.79,39,0.18,100,4,1,2024-11-01 07:09:09
25.36,88,1011,0.79,80,0.1,100,4,1,2024-11-01 14:09:10
24.14,95,1011,0.21,112,0.68,100,4,1,2024-11-01 16:09:10
33.17,53,1010,1.08,20,0.34,100,4,1,2024-11-02 04:09:12
31.18,62,1009,0.48,350,0.3,100,4,1,2024-11-02 05:09:10
30.0,73,1009,0.84,116,1.02,100,6,1,2024-11-02 06:09:11
28.99,81,1008,1.11,156,1.12,100,6,1,2024-11-02 07:09:11
28.13,85,1008,1.22,163,0.72,100,4,1,2024-11-02 08:09:14
26.88,90,1009,1.16,157,0.92,100,4,1,2024-11-02 09:09:10
25.38,94,1010,1.13,161,0.4,100,4,1,2024-11-02 10:09:11
24.84,95,1011,0.92,140,0.44,100,4,1,2024-11-02 11:09:10
24.54,96,1011,1.08,121,0.21,100,4,1,2024-11-02 12:09:11
23.08,99,1010,0.31,293,0.98,88,4,1,2024-11-02 21:09:09
23.02,99,1010,0.14,309,1.05,86,6,1,2024-11-02 22:09:09
24.4,97,1011,0.08,319,0.23,84,4,1,2024-11-02 23:09:09
29.0,75,1012,0.48,356,0.43,62,4,1,2024-11-03 01:09:09
31.35,62,1012,0.78,19,0.27,60,4,1,2024-11-03 02:09:09
